cidade;estado;populacao;pib per capita;idh
cicero dantas;bahia;31832;3747.07006836;0.585
cidade gaucha;parana;11079;14627.29003906;0.718
cidade ocidental;goias;52380;4064.70996094;0.717
cidelandia;maranhao;12866;6359.66015625;0.600
cidreira;rio grande do sul;11885;9943.40039062;0.729
cipo;bahia;15758;3648.2800293;0.601
cipotanea;minas gerais;6807;3952.43994141;0.579
ciriaco;rio grande do sul;5020;13735.96972656;0.719
claraval;minas gerais;4453;11113.75;0.698
claro dos pocġes;minas gerais;8389;6387.33984375;0.670
claudia;mato grosso;11148;15118.3203125;0.699
claudio;minas gerais;25938;10042.95996094;0.709
clementina;sao paulo;6582;9332.25976562;0.725
clevelandia;parana;17995;12347.38964844;0.694
coaraci;bahia;22274;3995.26000977;0.613
coari;amazonas;66991;16470.11914062;0.586
cocal;piaui;27220;2918.75;0.497
cocal de telha;piaui;4689;3300.61010742;0.555
cocal do sul;santa catarina;15229;20516.9609375;0.780
cocal dos alves;piaui;5525;3158.20996094;0.498
cocalinho;mato grosso;6103;15274.24023438;0.660
cocalzinho de goias;goias;15296;7374.5;0.657
cocos;bahia;17923;7533.75976562;0.596
codajas;amazonas;16291;5173.02001953;0.563
codo;maranhao;113937;4327.27001953;0.595
coelho neto;maranhao;45624;3456.43994141;0.564
coimbra;minas gerais;7209;5995.43994141;0.669
coite do noia;alagoas;11127;2819.48999023;0.533
coivaras;piaui;3955;3294.08007812;0.565
colares;para;11433;3261.31005859;0.602
colatina;espirito santo;111365;15485.13964844;0.746
colider;mato grosso;32096;10539.4296875;0.713
colina;sao paulo;17745;22648.86914062;0.757
colinas;rio grande do sul;2470;11624.46972656;0.596
colinas;maranhao;36787;3606.19995117;0.765
colinas do sul;goias;4026;5360.39013672;0.658
colinas do tocantins;tocantins;30666;7931.20019531;0.701
colmeia;tocantins;8961;8053.39990234;0.671
colniza;mato grosso;31597;9471.38964844;0.611
colombia;sao paulo;6345;22732.58007812;0.710
colombo;parana;247268;7547.04003906;0.733
colonia do gurgueia;piaui;5947;3383.27001953;0.628
colonia do piaui;piaui;7940;2929.84008789;0.588
colonia leopoldina;alagoas;20181;5281.18017578;0.517
colorado;rio grande do sul;3771;24538.15039062;0.730
colorado;parana;21789;17572.25;0.758
colorado do oeste;rondonia;17822;11905.73046875;0.685
coluna;minas gerais;9570;4141.10009766;0.583
combinado;tocantins;5070;6967.04003906;0.697
comendador gomes;minas gerais;3252;31438.36914062;0.697
comendador levy gasparian;rio de janeiro;8839;16980.26953125;0.685
comercinho;minas gerais;8637;4738.02001953;0.593
comodoro;mato grosso;18974;12233.70019531;0.689
conceicao;paraiba;17988;4036.26000977;0.592
conceicao da aparecida;minas gerais;10771;10448.65039062;0.691
conceicao da barra;espirito santo;27059;14838.91992188;0.681
conceicao da barra de minas;minas gerais;4077;6852.70996094;0.685
conceicao da feira;bahia;20117;4563.83007812;0.634
conceicao das alagoas;minas gerais;21938;22507.80078125;0.712
conceicao das pedras;minas gerais;2821;9001.61035156;0.668
conceicao de ipanema;minas gerais;4549;5546.29980469;0.676
conceicao de macabu;rio de janeiro;20687;8490.99023438;0.712
conceicao do almeida;bahia;17974;3856.47998047;0.606
conceicao do araguaia;para;47237;4871.58984375;0.640
conceicao do caninde;piaui;5077;2974.04003906;0.589
conceicao do castelo;espirito santo;11851;8237.70019531;0.670
conceicao do coite;bahia;62893;4656.58984375;0.611
conceicao do jacuipe;bahia;28769;14052.83984375;0.663
conceicao do lago-acu;maranhao;14909;3221.97998047;0.512
conceicao do mato dentro;minas gerais;18534;5999.93017578;0.634
conceicao do para;minas gerais;4866;23617.00976562;0.700
conceicao do rio verde;minas gerais;13244;8573.75976562;0.665
conceicao do tocantins;tocantins;4541;5539.29003906;0.592
conceicao dos ouros;minas gerais;10869;9249.5;0.703
conchal;sao paulo;24485;15070.78027344;0.708
conchas;sao paulo;16274;12754.16015625;0.736
concordia;santa catarina;70393;23442.43945312;0.800
concordia do para;para;22251;3831.76000977;0.566
condado;paraiba;6925;4741.20019531;0.594
condado;pernambuco;24403;4048.45996094;0.602
conde;bahia;23166;3821.57006836;0.618
conde;paraiba;20849;12869.58984375;0.560
condeuba;bahia;17210;3756.51000977;0.582
condor;rio grande do sul;6873;23908.83984375;0.747
conego marinho;minas gerais;6440;4017.7800293;0.621
confins;minas gerais;6072;187402.1875;0.747
confresa;mato grosso;22606;11033.30957031;0.668
congo;paraiba;4930;6092.31982422;0.581
congonhal;minas gerais;10261;8693.54980469;0.712
congonhas;minas gerais;48723;18056.34960938;0.753
congonhas do norte;minas gerais;5335;3901.2199707;0.568
congonhinhas;parana;9035;8588.41015625;0.668
conquista;minas gerais;6922;16304.21972656;0.729
conquista d'oeste;mato grosso;3289;11633.74023438;0.718
conselheiro lafaiete;minas gerais;114579;7825.74023438;0.761
conselheiro mairinck;parana;3700;8603.80957031;0.707
conselheiro pena;minas gerais;22539;7433.02001953;0.662
consolacao;minas gerais;1750;6281.62011719;0.673
constantina;rio grande do sul;10191;11573.79003906;0.754
contagem;minas gerais;625393;24641.23046875;0.756
contenda;parana;15728;9383.75976562;0.681
contendas do sincora;bahia;3886;4824.47998047;0.577
coqueiral;minas gerais;9747;9271.08984375;0.694
coqueiro baixo;rio grande do sul;1610;10208.09960938;0.692
coqueiro seco;alagoas;5525;3575.5;0.586
coqueiros do sul;rio grande do sul;3342;13625.95019531;0.746
coracao de jesus;minas gerais;27110;5089.39013672;0.642
coracao de maria;bahia;23774;4122.16015625;0.592
corbelia;parana;15850;15981.95996094;0.738
cordeiro;rio de janeiro;19902;9999.65039062;0.729
cordeiropolis;sao paulo;20720;65931.4296875;0.758
cordeiros;bahia;8883;3087.79003906;0.579
cordilheira alta;santa catarina;3531;36500.44921875;0.747
cordisburgo;minas gerais;9465;6854.54980469;0.656
cordislandia;minas gerais;3743;9138.03027344;0.660
coreau;ceara;22215;3125.94995117;0.610
coremas;paraiba;15709;3677.30004883;0.592
corguinho;mato grosso do sul;4370;15579.88964844;0.671
coribe;bahia;14895;4260.18017578;0.600
corinto;minas gerais;23048;6389.85986328;0.680
cornelio procopio;parana;48544;14380.50976562;0.759
coroaci;minas gerais;11131;5000.97021484;0.626
coroados;sao paulo;5250;14246.08007812;0.719
coroata;maranhao;63081;2976.08007812;0.576
coromandel;minas gerais;28296;16815.5703125;0.708
coronel barros;rio grande do sul;2522;17024.50976562;0.744
coronel bicaco;rio grande do sul;7971;14511.21972656;0.665
coronel domingos soares;parana;7864;8981.08007812;0.600
coronel ezequiel;rio grande do norte;5399;4535.12988281;0.587
coronel fabriciano;minas gerais;105037;6893.79980469;0.755
coronel freitas;santa catarina;10520;15712.37988281;0.744
coronel joao pessoa;rio grande do norte;4993;4312.12011719;0.578
coronel joao sa;bahia;18408;4173.66992188;0.535
coronel jose dias;piaui;4484;3013.17993164;0.546
coronel macedo;sao paulo;5343;10971.62988281;0.690
coronel martins;santa catarina;2583;12699.79980469;0.696
coronel murta;minas gerais;9423;4058.38989258;0.627
coronel pacheco;minas gerais;2427;8782.12988281;0.669
coronel pilar;rio grande do sul;1645;14906.21972656;0.727
coronel sapucaia;mato grosso do sul;14569;6041.20996094;0.589
coronel vivida;parana;21830;12688.03027344;0.723
coronel xavier chaves;minas gerais;3303;8102.60986328;0.677
corrego danta;minas gerais;3475;11342.13964844;0.692
corrego do bom jesus;minas gerais;3824;5674.89990234;0.692
corrego do ouro;goias;2632;11231.08984375;0.686
corrego fundo;minas gerais;5939;12855.55957031;0.678
corrego novo;minas gerais;3138;8069.14990234;0.632
correia pinto;santa catarina;14842;23175.91015625;0.702
corrente;piaui;25406;4430.68994141;0.642
correntes;pernambuco;16686;4172.43017578;0.536
correntina;bahia;32980;19332.15039062;0.603
cortes;pernambuco;11712;6661.74023438;0.568
corumba;mato grosso do sul;99467;27300.58007812;0.700
corumba de goias;goias;9372;6697.91992188;0.680
corumbaiba;goias;8624;35979.78125;0.698
corumbatai;sao paulo;4138;21848.34960938;0.754
corumbatai do sul;parana;4220;7201.08984375;0.638
corumbiara;rondonia;9680;19918.41992188;0.613
corupa;santa catarina;13380;15085;0.780
coruripe;alagoas;53369;8681;0.626
cosmopolis;sao paulo;59297;13562.04980469;0.769
cosmorama;sao paulo;7033;12340.24023438;0.722
costa marques;rondonia;14452;8307.87988281;0.611
costa rica;mato grosso do sul;19228;21566.01953125;0.706
cotegipe;bahia;14191;3747.27001953;0.590
cotia;sao paulo;182045;29813.63085938;0.780
cotipora;rio grande do sul;4887;18744.390625;0.741
cotriguacu;mato grosso;14965;9035.84960938;0.601
couto de magalhaes de minas;minas gerais;4560;4627.62011719;0.659
couto magalhaes;tocantins;5102;7327.45996094;0.605
coxilha;rio grande do sul;2997;26674.81054688;0.706
coxim;mato grosso do sul;32933;12386.25;0.703
coxixola;paraiba;1770;5339.68994141;0.641
craibas;alagoas;23294;3155.94995117;0.525
crateus;ceara;75249;4401.87011719;0.644
crato;ceara;116759;6226.02001953;0.713
cravinhos;sao paulo;30849;13784.87988281;0.756
cravolandia;bahia;5713;3785.11010742;0.599
criciuma;santa catarina;188557;16919.11914062;0.788
crisolita;minas gerais;5941;5959.24023438;0.585
crisopolis;bahia;20279;4233.85009766;0.543
crissiumal;rio grande do sul;15096;11149.65039062;0.712
cristais;minas gerais;11269;9714.59960938;0.692
cristais paulista;sao paulo;7436;18298.50976562;0.734
cristal;rio grande do sul;7393;12601.20996094;0.644
cristal do sul;rio grande do sul;3099;8637.66015625;0.660
cristalandia;tocantins;6628;9184.12011719;0.673
cristalandia do piaui;piaui;8177;3216.81005859;0.573
cristalia;minas gerais;5961;4864.87988281;0.583
cristalina;goias;38504;23421.7890625;0.699
cristiano otoni;minas gerais;5039;7371.43994141;0.695
cristianopolis;goias;3174;9092.05957031;0.688
cristina;minas gerais;11478;7474.58984375;0.668
cristinapolis;sergipe;16131;5055.74023438;0.553
cristino castro;piaui;9836;3726.2800293;0.566
cristopolis;bahia;14279;3325.69995117;0.614
crixas;goias;15005;13990.1796875;0.708
crixas do tocantins;tocantins;1289;15796.08984375;0.644
croata;ceara;18246;3915.9699707;0.590
crominia;goias;3729;9849.61035156;0.706
crucilandia;minas gerais;4776;6298.99023438;0.651
cruz;ceara;23540;3267.01000977;0.632
cruz alta;rio grande do sul;64438;23658.69921875;0.750
cruz das almas;bahia;57098;6782.56982422;0.699
cruz do espirito santo;paraiba;15854;4504.37988281;0.552
cruz machado;parana;19132;6452.27978516;0.664
cruzalia;sao paulo;2356;23973.13085938;0.774
cruzaltense;rio grande do sul;2266;12387.45019531;0.719
cruzeiro;sao paulo;79957;12785.05957031;0.788
cruzeiro da fortaleza;minas gerais;3897;12275.29003906;0.696
cruzeiro do iguacu;parana;4225;9815.04003906;0.709
cruzeiro do oeste;parana;20856;13197.96972656;0.717
cruzeiro do sul;rio grande do sul;12752;12208.5;0.664
cruzeiro do sul;acre;77004;8887.19042969;0.713
cruzeiro do sul;parana;4574;11669.26953125;0.723
cruzeta;rio grande do norte;8029;6028.22021484;0.654
cruzilia;minas gerais;15373;6780.66015625;0.695
cruzmaltina;parana;3128;14283.40039062;0.666
cubatao;sao paulo;129582;44655.53125;0.737
cubati;paraiba;6546;3990.59008789;0.566
cuiaba;mato grosso;550562;17830.5390625;0.785
cuite;paraiba;20834;3975.40991211;0.591
cuite de mamanguape;paraiba;6737;5990.35986328;0.524
cuitegi;paraiba;7243;3622.34008789;0.570
cujubim;rondonia;14889;13006.74023438;0.612
cumari;goias;3145;11388.13964844;0.737
cumaru;pernambuco;13812;4772.68017578;0.572
cumaru do norte;para;11890;6885.77001953;0.550
cumbe;sergipe;3870;5576.81005859;0.604
cunha;sao paulo;23735;5371.79980469;0.684
cunha pora;santa catarina;11079;20888.98046875;0.742
cunhatai;santa catarina;1948;11956.21972656;0.754
cuparaque;minas gerais;4561;5572.75;0.627
cupira;pernambuco;22783;4052.45996094;0.592
curaca;bahia;34421;4146.54003906;0.581
curimata;piaui;10765;3725.11010742;0.607
curionopolis;para;17944;4787.62011719;0.636
curitiba;parana;1851215;24720.2109375;0.823
curitibanos;santa catarina;39045;13874.40039062;0.721
curiuva;parana;15217;6286.06005859;0.656
currais;piaui;4710;7325.91992188;0.542
currais novos;rio grande do norte;43536;6641.52978516;0.691
curral de cima;paraiba;5648;5494.72021484;0.529
curral de dentro;minas gerais;7376;4398.41015625;0.585
curral novo do piaui;piaui;5119;2825.87011719;0.527
curral velho;paraiba;2886;3805.5300293;0.606
curralinho;para;27543;2020.56994629;0.502
curralinhos;piaui;4242;2660.40991211;0.555
curua;para;12984;3992.23999023;0.578
curuca;para;36748;2884.97998047;0.582
cururupu;maranhao;35108;3075.17993164;0.612
curvelandia;mato grosso;5039;7410.5;0.690
curvelo;minas gerais;75051;8832.29980469;0.713
custodia;pernambuco;33874;4755.91015625;0.594
cutias;amapa;4652;10895.33007812;0.628
damianopolis;goias;3678;4631.77978516;0.654
damiao;paraiba;4998;3639.35009766;0.521
damolandia;goias;2809;8526.13964844;0.697
darcinopolis;tocantins;5388;8202.58984375;0.581
dario meira;bahia;12331;3844.22998047;0.540
datas;minas gerais;5696;4636.79003906;0.616
david canabarro;rio grande do sul;4857;15571.87988281;0.762
davinopolis;maranhao;12091;2922.83007812;0.607
davinopolis;goias;2075;10835.98046875;0.716
delfim moreira;minas gerais;8047;5492;0.669
delfinopolis;minas gerais;6954;14554.13964844;0.740
delmiro gouveia;alagoas;48462;5708.14013672;0.612
delta;minas gerais;7210;30904.34960938;0.639
demerval lobao;piaui;13232;2677.07006836;0.618
denise;mato grosso;11142;10127.11035156;0.683
deodapolis;mato grosso do sul;11600;8846.55957031;0.694
deputado irapuan pinheiro;ceara;9615;3492.86010742;0.609
derrubadas;rio grande do sul;3391;12306.21972656;0.707
descalvado;sao paulo;30867;20306.47070312;0.760
descanso;santa catarina;8898;15210.5;0.743
descoberto;minas gerais;5126;6525.47021484;0.680
desterro;paraiba;8191;3782.73999023;0.580
desterro de entre rios;minas gerais;7173;4876.39990234;0.639
desterro do melo;minas gerais;3302;6189.12011719;0.631
dezesseis de novembro;rio grande do sul;2923;10089.69042969;0.654
diadema;sao paulo;397738;25066.30078125;0.757
diamante;paraiba;6751;3876.87988281;0.593
diamante d'oeste;parana;5129;8453.03027344;0.644
diamante do norte;parana;5668;6987.18017578;0.723
diamante do sul;parana;3791;7121.99023438;0.608
diamantina;minas gerais;46372;6202.70996094;0.716
diamantino;mato grosso;18989;47846.98046875;0.718
dianopolis;tocantins;19524;11154.19042969;0.701
dias d'avila;bahia;57708;22879.9296875;0.676
dilermando de aguiar;rio grande do sul;3215;14775.34960938;0.648
diogo de vasconcelos;minas gerais;4066;4784.14990234;0.601
dionisio;minas gerais;10589;4748.25;0.702
dionisio cerqueira;santa catarina;15399;16633.4609375;0.706
diorama;goias;2243;10574.26953125;0.729
dirce reis;sao paulo;1623;15037.20996094;0.741
dirceu arcoverde;piaui;6996;2858.54003906;0.561
divina pastora;sergipe;4448;19430.08984375;0.610
divinesia;minas gerais;3409;5735.10009766;0.657
divino;minas gerais;20099;5281.35986328;0.605
divino das laranjeiras;minas gerais;5092;5763.00976562;0.661
divino de sao lourenco;espirito santo;5011;6864.49023438;0.632
divinolandia;sao paulo;11343;13980.20019531;0.734
divinolandia de minas;minas gerais;7023;4542.91015625;0.623
divinopolis;minas gerais;216099;13048.62011719;0.764
divinopolis de goias;goias;5570;6338.79980469;0.653
divinopolis do tocantins;tocantins;6623;7442.20996094;0.683
divisa alegre;minas gerais;6235;6843.16015625;0.608
divisa nova;minas gerais;5828;7673.49023438;0.670
divisopolis;minas gerais;8463;5366.97998047;0.609
dobrada;sao paulo;8214;8240.29003906;0.718
dois corregos;sao paulo;26040;13977.12988281;0.725
dois irmaos;rio grande do sul;26421;21011.33007812;0.743
dois irmaos das missġes;rio grande do sul;2444;19568.19921875;0.670
dois irmaos do buriti;mato grosso do sul;9643;10061.75976562;0.639
dois irmaos do tocantins;tocantins;7254;7897.64990234;0.583
dois lajeados;rio grande do sul;3484;16187.1796875;0.757
dois riachos;alagoas;11200;3131.98999023;0.532
dois vizinhos;parana;35707;17912.76953125;0.767
dolcinopolis;sao paulo;2272;9593.40039062;0.742
dom aquino;mato grosso;8498;26398.33984375;0.690
dom basilio;bahia;11620;7286.47998047;0.591
dom bosco;minas gerais;3839;10140.03027344;0.673
dom cavati;minas gerais;5811;4978.56982422;0.688
dom eliseu;para;39088;5875.49023438;0.615
dom expedito lopes;piaui;6793;4653.20996094;0.601
dom feliciano;rio grande do sul;15300;10191.83007812;0.587
dom inocencio;piaui;10795;2358.23999023;0.549
dom joaquim;minas gerais;4640;4988.25;0.622
dom macedo costa;bahia;3951;4224.20019531;0.632
dom pedrito;rio grande do sul;38767;17543.83984375;0.708
dom pedro;maranhao;22086;3617.69995117;0.622
dom pedro de alcantara;rio grande do sul;2851;9898.65039062;0.691
dom silverio;minas gerais;5475;6405;0.709
dom vicoso;minas gerais;3117;5647.83984375;0.687
domingos martins;espirito santo;32455;9497.86035156;0.669
domingos mourao;piaui;4447;3170.63989258;0.550
dona emma;santa catarina;3583;12877.50976562;0.742
dona eusebia;minas gerais;5808;6338.68017578;0.701
dona francisca;rio grande do sul;3593;11267.62011719;0.697
dona ines;paraiba;11142;3654.31005859;0.545
dores de campos;minas gerais;9821;8129.60986328;0.686
dores de guanhaes;minas gerais;5751;4890.72998047;0.636
dores do indaia;minas gerais;14366;8182.52978516;0.719
dores do rio preto;espirito santo;6293;7821.99023438;0.654
dores do turvo;minas gerais;4668;5049.62988281;0.629
doresopolis;minas gerais;1578;9888.05957031;0.692
dormentes;pernambuco;16462;4386.79980469;0.589
douradina;parana;6853;30038.359375;0.724
douradina;mato grosso do sul;5075;9109.15039062;0.699
dourado;sao paulo;9131;10919.83984375;0.738
douradoquara;minas gerais;1924;12027.98046875;0.706
dourados;mato grosso do sul;189762;15826.58007812;0.747
doutor camargo;parana;5753;10595.15039062;0.746
doutor mauricio cardoso;rio grande do sul;5424;16182.95019531;0.706
doutor pedrinho;santa catarina;3432;11207.05957031;0.716
doutor ricardo;rio grande do sul;2101;12808.24023438;0.724
doutor severiano;rio grande do norte;6616;4071.38989258;0.621
doutor ulysses;parana;6145;13662.0703125;0.546
doverlandia;goias;8570;11751.91015625;0.668
dracena;sao paulo;44309;12990.53027344;0.776
duartina;sao paulo;12796;9833.71972656;0.748
duas barras;rio de janeiro;10891;13357.95019531;0.659
duas estradas;paraiba;3855;5161.37011719;0.603
duere;tocantins;4618;15083.23046875;0.679
dumont;sao paulo;8346;10423.79980469;0.744
duque bacelar;maranhao;10827;2875.18994141;0.533
duque de caxias;rio de janeiro;872762;29501.24023438;0.711
durande;minas gerais;7146;6879.68994141;0.645
echapora;sao paulo;6239;12172.58007812;0.745
ecoporanga;espirito santo;23891;9504.01953125;0.662
edealina;goias;3821;17337.43945312;0.702
edeia;goias;10604;25304.33007812;0.739
eirunepe;amazonas;30901;3980.62988281;0.563
eldorado;mato grosso do sul;12421;9780.04980469;0.691
eldorado;sao paulo;14514;7481.18994141;0.684
eldorado do sul;rio grande do sul;33668;19341.83007812;0.717
eldorado dos carajas;para;29251;5519.08984375;0.560
elesbao veloso;piaui;14490;3734.75;0.580
elias fausto;sao paulo;15312;34491.8515625;0.695
eliseu martins;piaui;4923;3608.32006836;0.595
elisiario;sao paulo;3317;15765.8203125;0.747
elisio medrado;bahia;8183;3686.0300293;0.623
eloi mendes;minas gerais;25532;9716.04980469;0.685
emas;paraiba;3374;4710;0.595
embauba;sao paulo;2442;14674.65039062;0.730
embu;sao paulo;248722;14868.40039062;0.735
embu-guacu;sao paulo;62137;8459.8203125;0.749
emilianopolis;sao paulo;3184;10043.91015625;0.727
encantado;rio grande do sul;20530;20042.2890625;0.767
encanto;rio grande do norte;5365;4318.99023438;0.629
encruzilhada;bahia;20720;5267.56982422;0.544
encruzilhada do sul;rio grande do sul;25154;8624.91992188;0.657
eneas marques;parana;6066;13439.96972656;0.752
engenheiro beltrao;parana;14280;14992.99023438;0.730
engenheiro caldas;minas gerais;10908;5140.64013672;0.644
engenheiro coelho;sao paulo;14300;15372.90039062;0.732
engenheiro navarro;minas gerais;7315;5030.04980469;0.655
engenheiro paulo de frontin;rio de janeiro;13214;8394.96972656;0.722
engenho velho;rio grande do sul;1467;16427.33007812;0.717
entre folhas;minas gerais;5065;5020.79003906;0.634
entre rios;santa catarina;3104;7633.62988281;0.615
entre rios;bahia;40524;6133.20019531;0.657
entre rios de minas;minas gerais;14548;6190.75976562;0.672
entre rios do oeste;parana;4113;15671.1796875;0.761
entre rios do sul;rio grande do sul;3087;24881.31054688;0.703
entre-ijuis;rio grande do sul;9263;15761.74023438;0.680
envira;amazonas;17614;3965.19995117;0.509
epitaciolandia;acre;14224;9114.25;0.653
equador;rio grande do norte;6084;5108.35986328;0.623
erebango;rio grande do sul;2936;14426.37988281;0.712
erechim;rio grande do sul;97916;21445.38085938;0.776
erere;ceara;7332;3364.58007812;0.610
erico cardoso;bahia;10717;2952.4699707;0.584
ermo;santa catarina;1857;21854.02929688;0.726
ernestina;rio grande do sul;3094;19530.91015625;0.716
erval grande;rio grande do sul;5367;9937.53027344;0.681
erval seco;rio grande do sul;8196;11277.08007812;0.685
erval velho;santa catarina;4195;13290.00976562;0.723
ervalia;minas gerais;18855;6096.45996094;0.625
escada;pernambuco;62604;5225.50976562;0.632
esmeralda;rio grande do sul;3383;17843.24023438;0.680
esmeraldas;minas gerais;59408;4902.47021484;0.671
espera feliz;minas gerais;21612;8670.58007812;0.663
esperanca;paraiba;30855;7163.27001953;0.623
esperanca do sul;rio grande do sul;3468;9955.16015625;0.661
esperanca nova;parana;1836;9016.1796875;0.689
esperantina;piaui;37520;3569.34008789;0.570
esperantina;tocantins;8445;4667.83007812;0.605
esperantinopolis;maranhao;18815;3419.77001953;0.586
espigao alto do iguacu;parana;5200;9247.98046875;0.636
espigao d'oeste;rondonia;28892;11063.05957031;0.672
espinosa;minas gerais;32461;4194.35009766;0.627
espirito santo;rio grande do norte;10373;3544.23999023;0.558
espirito santo do dourado;minas gerais;4471;8446.8203125;0.685
espirito santo do pinhal;sao paulo;42260;15875.20996094;0.787
espirito santo do turvo;sao paulo;4428;22377;0.696
esplanada;bahia;33115;9099.65039062;0.589
espumoso;rio grande do sul;15435;18226.3203125;0.765
estacao;rio grande do sul;6253;17877.51953125;0.753
estancia;sergipe;63582;12482.20996094;0.647
estancia velha;rio grande do sul;43906;14429.76953125;0.757
esteio;rio grande do sul;81170;27436.98046875;0.754
estiva;minas gerais;11426;8572.28027344;0.691
estiva gerbi;sao paulo;9657;18334.50976562;0.740
estreito;maranhao;27756;9720.50976562;0.659
estrela;rio grande do sul;30603;20714.52929688;0.767
estrela d'oeste;sao paulo;9042;47336.5390625;0.760
estrela dalva;minas gerais;2536;7691.70019531;0.710
estrela de alagoas;alagoas;17251;2835.5300293;0.534
estrela do indaia;minas gerais;3787;10180.58984375;0.676
estrela do norte;goias;3223;7491.72998047;0.740
estrela do norte;sao paulo;2474;10927.83007812;0.707
estrela do sul;minas gerais;7439;17698.08007812;0.696
estrela velha;rio grande do sul;3777;19807.16992188;0.679
euclides da cunha;bahia;59193;4384.75;0.567
euclides da cunha paulista;sao paulo;10168;6020.79980469;0.704
eugenio de castro;rio grande do sul;3083;25889.41992188;0.712
eugenopolis;minas gerais;10769;6119.72998047;0.675
eunapolis;bahia;99553;12344.79980469;0.677
eusebio;ceara;41307;26172.98046875;0.701
ewbank da camara;minas gerais;3676;5307.41992188;0.676
extrema;minas gerais;27155;51346.80078125;0.732
extremoz;rio grande do norte;22751;5899.85009766;0.660
exu;pernambuco;31086;3942.55004883;0.576
fagundes;paraiba;12183;3795.82006836;0.560
fagundes varela;rio grande do sul;2607;20082.84960938;0.763
faina;goias;7020;8313.53027344;0.650
fama;minas gerais;2259;10946.29980469;0.717
faria lemos;minas gerais;3734;8119.72998047;0.687
farias brito;ceara;19605;3274.93994141;0.633
faro;para;19585;2054.45996094;0.563
farol;parana;3354;18161.91015625;0.715
farroupilha;rio grande do sul;63375;21634.08007812;0.777
fartura;sao paulo;14969;10856.62011719;0.732
fartura do piaui;piaui;5402;2630.80004883;0.548
fatima;tocantins;4123;8221.19042969;0.697
fatima;bahia;19703;3070.84008789;0.559
fatima do sul;mato grosso do sul;19332;8346.08984375;0.714
faxinal;parana;16032;13986.08007812;0.687
faxinal do soturno;rio grande do sul;6407;14637.01953125;0.720
faxinal dos guedes;santa catarina;10585;19823.7890625;0.758
faxinalzinho;rio grande do sul;2607;10647.5703125;0.666
fazenda nova;goias;6399;9331.69042969;0.685
fazenda rio grande;parana;80868;5967.70996094;0.720
fazenda vilanova;rio grande do sul;3248;45595.671875;0.698
feijo;acre;32261;7418.14990234;0.539
feira da mata;bahia;6562;4629.74023438;0.588
feira de santana;bahia;591707;10745.41015625;0.712
feira grande;alagoas;21824;3070.32006836;0.533
feira nova;sergipe;5875;5472.43017578;0.600
feira nova;pernambuco;20052;3511.18994141;0.584
feira nova do maranhao;maranhao;7899;4089.20996094;0.532
felicio dos santos;minas gerais;5865;4154.37011719;0.606
felipe guerra;rio grande do norte;5875;8549.25;0.636
felisburgo;minas gerais;7024;4594.83007812;0.583
felixlandia;minas gerais;14287;10256.58984375;0.648
feliz;rio grande do sul;12198;15264.54980469;0.750
feliz deserto;alagoas;4568;7457.85986328;0.565
feliz natal;mato grosso;11170;14892.0703125;0.692
fenix;parana;5017;13618.23046875;0.716
fernandes pinheiro;parana;5696;8566.48046875;0.645
fernandes tourinho;minas gerais;2713;6764.79003906;0.646
fernando de noronha;pernambuco;3108;8681.04980469;0.788
fernando falcao;maranhao;8765;4210.10986328;0.443
fernando pedroza;rio grande do norte;2994;4261.06982422;0.597
fernando prestes;sao paulo;5312;17485.13085938;0.758
fernandopolis;sao paulo;63539;15392.21972656;0.797
fernao;sao paulo;1521;10466.29980469;0.703
ferraz de vasconcelos;sao paulo;179231;7705.25976562;0.738
ferreira gomes;amapa;5475;12774.00976562;0.656
ferreiros;pernambuco;11456;4889.50976562;0.622
ferros;minas gerais;11531;5093.25;0.603
fervedouro;minas gerais;10754;5116.12011719;0.580
figueira;parana;8485;7145.25;0.677
figueirao;mato grosso do sul;3443;15575.90039062;0.660
figueiropolis;tocantins;4883;13468.5703125;0.689
figueiropolis d'oeste;mato grosso;3656;11749.03027344;0.679
filadelfia;tocantins;7978;7311.89013672;0.621
filadelfia;bahia;16215;3313.10009766;0.565
firmino alves;bahia;5864;3529.04003906;0.578
firminopolis;goias;10732;6158.06982422;0.732
flexeiras;alagoas;12290;3709.36010742;0.527
flor da serra do sul;parana;4742;11169.26953125;0.682
flor do sertao;santa catarina;1700;10801.66992188;0.708
flora rica;sao paulo;2029;15689.26953125;0.727
florai;parana;5158;15219.83007812;0.745
florania;rio grande do norte;8487;4945.95996094;0.642
floreal;sao paulo;2884;12043.16015625;0.747
flores;pernambuco;23034;3429.45996094;0.556
flores da cunha;rio grande do sul;26695;19377.88085938;0.754
flores de goias;goias;11483;7097.89013672;0.597
flores do piaui;piaui;4615;3493.2199707;0.547
floresta;pernambuco;28100;7283.64990234;0.626
floresta;parana;5417;11829.75976562;0.736
floresta azul;bahia;10364;4084.32006836;0.557
floresta do araguaia;para;15629;11415.03027344;0.583
floresta do piaui;piaui;2643;3518.65991211;0.538
florestal;minas gerais;6199;7320.89990234;0.724
florestopolis;parana;11795;7145.16015625;0.701
floriano;piaui;57968;7413.06982422;0.700
floriano peixoto;rio grande do sul;2155;13481.26953125;0.663
florianopolis;santa catarina;408161;20305.43945312;0.847
florida;parana;2535;9903.88964844;0.732
florida paulista;sao paulo;13761;10951.83984375;0.715
