cidade;estado;populacao;pib per capita;idh
aloandia;goias;2118;8219.59960938;0.697
alpercata;minas gerais;7252;5531.10009766;0.646
alpestre;rio grande do sul;8880;9837.87011719;0.671
alpinopolis;minas gerais;18619;11570.41015625;0.725
alta floresta;mato grosso;51414;11278.09960938;0.714
alta floresta d'oeste;rondonia;24354;12554.79003906;0.641
altair;sao paulo;3287;29265.2109375;0.687
altamira;para;98750;6160.74023438;0.665
altamira do maranhao;maranhao;7771;3954.2800293;0.549
altamira do parana;parana;3799;9887.71972656;0.667
altaneira;ceara;6834;3180.12988281;0.602
alterosa;minas gerais;13810;7576.99023438;0.668
altinho;pernambuco;22427;3594.70996094;0.598
altinopolis;sao paulo;15554;14877.19042969;0.730
alto alegre;sao paulo;4267;8992.12011719;0.542
alto alegre;roraima;14205;9993.25976562;0.700
alto alegre;rio grande do sul;1945;17290.16992188;0.747
alto alegre do maranhao;maranhao;22914;3065.30004883;0.554
alto alegre do pindare;maranhao;33211;3549.63989258;0.558
alto alegre dos parecis;rondonia;11875;13540.61035156;0.592
alto araguaia;mato grosso;14611;51559.3984375;0.704
alto bela vista;santa catarina;2071;14300.99023438;0.755
alto boa vista;mato grosso;5475;9690.54003906;0.651
alto caparao;minas gerais;5312;8895.58984375;0.661
alto do rodrigues;rio grande do norte;12045;14158.63964844;0.672
alto feliz;rio grande do sul;3067;9040.48046875;0.734
alto garcas;mato grosso;9550;26198.26953125;0.701
alto horizonte;goias;3392;121223.359375;0.719
alto jequitiba;minas gerais;8122;9100.53027344;0.660
alto longa;piaui;14147;2900.58007812;0.585
alto paraguai;mato grosso;8329;7826.39013672;0.638
alto paraiso;rondonia;17569;10194.08984375;0.625
alto paraiso;parana;3217;11724.41992188;0.678
alto paraiso de goias;goias;6982;6848.60009766;0.713
alto parana;parana;13435;7796.83007812;0.696
alto parnaiba;maranhao;10640;9136.61035156;0.633
alto piquiri;parana;10406;10338.90039062;0.676
alto rio doce;minas gerais;12778;5094.49023438;0.620
alto rio novo;espirito santo;6172;7635.93017578;0.664
alto santo;ceara;20829;3476.91992188;0.601
alto taquari;mato grosso;6505;77978.6015625;0.705
altonia;parana;20764;6809.79003906;0.721
altos;piaui;39735;3520.13989258;0.614
aluminio;sao paulo;16427;103118.7109375;0.766
alvaraes;amazonas;13566;3944.91992188;0.527
alvarenga;minas gerais;4545;4913.18994141;0.592
alvares florence;sao paulo;3876;14597.73046875;0.728
alvares machado;sao paulo;23779;8382.45996094;0.758
alvaro de carvalho;sao paulo;4984;7290.47021484;0.688
alvinlandia;sao paulo;2869;9859.76953125;0.722
alvinopolis;minas gerais;15678;8354.73046875;0.676
alvorada;tocantins;8161;15067.83007812;0.708
alvorada;rio grande do sul;213894;5553.33007812;0.699
alvorada d'oeste;rondonia;17127;9307.83984375;0.643
alvorada de minas;minas gerais;3588;5800.62011719;0.572
alvorada do gurgueia;piaui;5209;5305.12988281;0.578
alvorada do norte;goias;8666;6457.89990234;0.660
alvorada do sul;parana;9255;10526.0703125;0.708
amajari;roraima;8249;8627.13964844;0.484
amambai;mato grosso do sul;34986;10169.29003906;0.673
amapa;amapa;7802;10440.41992188;0.642
amapa do maranhao;maranhao;6451;3917.33007812;0.520
amapora;parana;5447;10201.6796875;0.669
amaraji;pernambuco;20509;4344.93994141;0.580
amaral ferrador;rio grande do sul;6602;9337.8203125;0.624
amaralina;goias;3719;8770.62011719;0.609
amarante;piaui;17892;3650.94995117;0.598
amarante do maranhao;maranhao;37388;3513.07006836;0.555
amargosa;bahia;35278;4616.25976562;0.625
amatura;amazonas;8828;3908.65991211;0.560
amelia rodrigues;bahia;24491;4918.74023438;0.666
america dourada;bahia;16787;3890.12988281;0.561
americana;sao paulo;205229;29850.41015625;0.811
americano do brasil;goias;4795;12344.91015625;0.700
americo brasiliense;sao paulo;33255;17407.50976562;0.751
americo de campos;sao paulo;5488;9025.66015625;0.745
ametista do sul;rio grande do sul;8538;6261.52978516;0.682
amontada;ceara;40198;3823.11010742;0.606
amorinopolis;goias;3484;10904.75976562;0.681
amparo;sao paulo;65928;27055.3203125;0.606
amparo;paraiba;2078;4513.77001953;0.785
amparo de sao francisco;sergipe;2268;5630.39013672;0.611
amparo do serra;minas gerais;5362;4715.60986328;0.641
ampere;parana;18041;10714.84960938;0.709
anadia;alagoas;17740;4068.25;0.568
anage;bahia;25262;2950.90991211;0.540
anahy;parana;2926;11487.29003906;0.695
anajas;para;27386;2283.44995117;0.484
anajatuba;maranhao;25063;3148.20996094;0.581
analandia;sao paulo;4558;15537.9296875;0.754
anama;amazonas;8673;4812.18017578;0.594
ananas;tocantins;9514;6258.29003906;0.671
ananindeua;para;505512;6416.00976562;0.718
anapolis;goias;335960;24139.06054688;0.737
anapu;para;20421;3781.73999023;0.548
anapurus;maranhao;13257;4987.75976562;0.581
anastacio;mato grosso do sul;23047;8805.45996094;0.663
anaurilandia;mato grosso do sul;8697;12201.08007812;0.670
anchieta;santa catarina;6683;12988.05957031;0.730
anchieta;espirito santo;20226;108431.2734375;0.699
andarai;bahia;14609;3335.55004883;0.555
andira;parana;21964;15629.3203125;0.725
andorinha;bahia;14201;5051.52001953;0.588
andradas;minas gerais;36633;11148.04980469;0.734
andradina;sao paulo;56593;16777.47070312;0.779
andre da rocha;rio grande do sul;1276;33119.58984375;0.720
andrelandia;minas gerais;12369;7360.04980469;0.700
angatuba;sao paulo;23225;15957.25;0.719
angelandia;minas gerais;8571;5562.81982422;0.597
angelica;mato grosso do sul;7465;17819.68945312;0.697
angelim;pernambuco;10385;3973.62988281;0.572
angelina;santa catarina;5396;11734.88964844;0.687
angical;bahia;15191;4087.94995117;0.625
angical do piaui;piaui;6793;3711.29003906;0.630
angico;tocantins;3300;6018.25976562;0.648
angicos;rio grande do norte;11525;5066.52001953;0.624
angra dos reis;rio de janeiro;168664;26835.41992188;0.724
anguera;bahia;9826;2683.92993164;0.589
angulo;parana;2893;11301.3203125;0.721
anhanguera;goias;1018;8049.50976562;0.725
anhembi;sao paulo;5766;15828.88964844;0.721
anhumas;sao paulo;3947;9390.66015625;0.741
anicuns;goias;18027;13383.46972656;0.714
anisio de abreu;piaui;8552;3031.75;0.594
anita garibaldi;santa catarina;9191;7888.72021484;0.688
anitapolis;santa catarina;3267;11393.63964844;0.674
anori;amazonas;14688;5069.77978516;0.561
anta gorda;rio grande do sul;6326;14596.50976562;0.740
antas;bahia;17583;3109.62011719;0.592
antonina;parana;17743;10576;0.687
antonina do norte;ceara;7059;3463.48999023;0.599
antonio almeida;piaui;3267;6986.85009766;0.620
antonio cardoso;bahia;12589;4147.22998047;0.561
antonio carlos;minas gerais;11624;8735.44042969;0.683
antonio carlos;santa catarina;7466;34221.51171875;0.749
antonio dias;minas gerais;9598;6791.81982422;0.645
antonio goncalves;bahia;11240;2952.79003906;0.598
antonio joao;mato grosso do sul;8734;17672.7890625;0.643
antonio martins;rio grande do norte;7245;4079.86010742;0.578
antonio olinto;parana;7750;8621.30957031;0.656
antonio prado;rio grande do sul;14274;16413.80078125;0.758
antonio prado de minas;minas gerais;2070;6958.20019531;0.684
aparecida;sao paulo;37629;10443.91015625;0.578
aparecida;paraiba;7607;3983.47998047;0.755
aparecida d'oeste;sao paulo;4598;10132.71972656;0.721
aparecida de goiania;goias;510770;9008.70019531;0.718
aparecida do rio doce;goias;2871;13964.74023438;0.693
aparecida do rio negro;tocantins;4200;9670.33007812;0.651
aparecida do taboado;mato grosso do sul;20623;16938.94921875;0.697
aperibe;rio de janeiro;9556;8508.28027344;0.692
apiaca;espirito santo;7883;6116.60009766;0.673
apiacas;mato grosso;8381;17760.86914062;0.675
apiai;sao paulo;25700;10247.01953125;0.710
apicum-acu;maranhao;13890;2728.79003906;0.568
apiuna;santa catarina;10996;20606.4609375;0.708
apodi;rio grande do norte;35768;7380.72998047;0.639
apora;bahia;18738;2977.26000977;0.548
apore;goias;3708;22090.16992188;0.693
apuarema;bahia;7610;4218.56982422;0.552
apucarana;parana;121290;12459.41015625;0.748
apui;amazonas;18597;7904.14013672;0.637
apuiares;ceara;14414;3064.51000977;0.618
aquidaba;sergipe;19890;5223.66992188;0.578
aquidauana;mato grosso do sul;46515;9745.63964844;0.688
aquiraz;ceara;71400;8452.08984375;0.641
arabuta;santa catarina;4048;12668.3203125;0.733
aracagi;paraiba;17839;5618.25;0.549
aracai;minas gerais;2524;9532.23046875;0.695
aracaju;sergipe;544039;12994.37988281;0.770
aracariguama;sao paulo;13208;110550.9921875;0.704
aracas;bahia;12209;7971.25;0.570
aracati;ceara;69616;7073.56005859;0.655
aracatu;bahia;14316;3018.72998047;0.581
aracatuba;sao paulo;182204;16472.18945312;0.788
araci;bahia;54713;3157.04003906;0.534
aracitaba;minas gerais;1885;8269.4296875;0.661
aracoiaba;ceara;25351;3754.62011719;0.615
aracoiaba;pernambuco;17484;3132.92993164;0.592
aracoiaba da serra;sao paulo;26626;9756.95019531;0.776
aracruz;espirito santo;78658;25119.8203125;0.752
aracu;goias;3946;8074.43017578;0.693
aracuai;minas gerais;37388;4564.10986328;0.663
aragarcas;goias;17883;4956.93994141;0.732
aragoiania;goias;7702;5584.95019531;0.684
aragominas;tocantins;5555;6974.35986328;0.593
araguacema;tocantins;5591;6803.52978516;0.639
araguacu;tocantins;9225;11591.83984375;0.675
araguaiana;mato grosso;2996;17054.08007812;0.687
araguaina;tocantins;119637;13227.0703125;0.752
araguainha;mato grosso;1115;10334.23046875;0.701
araguana;tocantins;5248;7219.39013672;0.604
araguana;maranhao;10325;3457.14990234;0.533
araguapaz;goias;7780;7852.50976562;0.674
araguari;minas gerais;111095;17239.30078125;0.773
araguatins;tocantins;26771;5710.85986328;0.631
araioses;maranhao;39166;3395.77001953;0.521
aral moreira;mato grosso do sul;9679;21494.01953125;0.633
aramari;bahia;9911;3694.75;0.588
arambare;rio grande do sul;3929;18416.38085938;0.691
arame;maranhao;27750;3503.56005859;0.512
aramina;sao paulo;5308;13619.91015625;0.740
arandu;sao paulo;6212;11095.76953125;0.685
arantina;minas gerais;2538;5944.33007812;0.697
arapei;sao paulo;2582;10205.37011719;0.680
arapiraca;alagoas;210521;7880.33984375;0.649
arapoema;tocantins;7029;8887.21972656;0.680
araponga;minas gerais;8328;5098.70996094;0.536
arapongas;parana;103025;18621.16015625;0.748
arapora;minas gerais;6522;104423.609375;0.708
arapoti;parana;26998;19249.8203125;0.723
arapua;minas gerais;2778;15220.63964844;0.724
arapua;parana;4017;9662.66015625;0.676
araputanga;mato grosso;16090;14337.75976562;0.725
araquari;santa catarina;23080;14251.61035156;0.703
arara;paraiba;12804;3496.98999023;0.548
ararangua;santa catarina;59537;12810.69042969;0.760
araraquara;sao paulo;200666;20898.08984375;0.815
araras;sao paulo;114515;21022.5703125;0.781
ararenda;ceara;11186;3158.07006836;0.590
arari;maranhao;28787;3218.52001953;0.626
ararica;rio grande do sul;5181;11524.05957031;0.679
araripe;ceara;22373;3763.75;0.564
araripina;pernambuco;79877;4284.79980469;0.602
araruama;rio de janeiro;109705;10274.87988281;0.718
araruna;paraiba;20009;3922.83007812;0.567
araruna;parana;12962;14374.0703125;0.704
arataca;bahia;10953;5336.37988281;0.559
aratiba;rio grande do sul;6690;49229.19921875;0.772
aratuba;ceara;12478;4029.23999023;0.622
aratuipe;bahia;8822;3623.95996094;0.575
araua;sergipe;12042;5284.29003906;0.595
araucaria;parana;117964;101411.2578125;0.740
araujos;minas gerais;7692;7971.35986328;0.698
araxa;minas gerais;92927;21312.23046875;0.772
arceburgo;minas gerais;8253;31299.1796875;0.683
arco-iris;sao paulo;2010;20304.58984375;0.722
arcos;minas gerais;36455;13223.91992188;0.749
arcoverde;pernambuco;68000;5194.50976562;0.667
areado;minas gerais;13864;7623.35986328;0.727
areal;rio de janeiro;11982;16432.16015625;0.684
arealva;sao paulo;7886;16267.94042969;0.744
areia;paraiba;25648;4077.77001953;0.594
areia branca;sergipe;16733;5146.49023438;0.682
areia branca;rio grande do norte;25394;13871.36035156;0.579
areia de baraunas;paraiba;2159;4098.45019531;0.562
areial;paraiba;6441;3715.68994141;0.608
areias;sao paulo;3690;10413.34960938;0.697
areiopolis;sao paulo;11157;7930.18017578;0.695
arenapolis;mato grosso;9903;8205.62988281;0.704
arenopolis;goias;3481;10135.19042969;0.687
ares;rio grande do norte;12732;12766.15039062;0.606
argirita;minas gerais;3051;7819.5;0.643
aricanduva;minas gerais;5140;4561.68994141;0.582
arinos;minas gerais;18153;6266.49023438;0.656
aripuana;mato grosso;20511;16677.66992188;0.675
ariquemes;rondonia;85541;12169.13964844;0.702
ariranha;sao paulo;8876;85371.2109375;0.733
ariranha do ivai;parana;2533;10470.21972656;0.670
armacao dos buzios;rio de janeiro;28653;32464.25;0.728
armazem;santa catarina;7650;11607.41015625;0.770
arneiroz;ceara;7486;3937.62011719;0.618
aroazes;piaui;6019;4058.61010742;0.583
aroeiras;paraiba;19725;3640.66992188;0.548
aroeiras do itaim;piaui;2759;3122.42993164;0.519
arraial;piaui;5165;3021.87011719;0.560
arraial do cabo;rio de janeiro;26896;11451.95996094;0.733
arraias;tocantins;10913;12810.25;0.651
arroio do meio;rio grande do sul;19059;27692.41992188;0.769
arroio do padre;rio grande do sul;2882;9038.66992188;0.669
arroio do sal;rio grande do sul;7291;11007.04980469;0.740
arroio do tigre;rio grande do sul;13208;15775.50976562;0.707
arroio dos ratos;rio grande do sul;14181;8521.66992188;0.698
arroio grande;rio grande do sul;18748;16747.51953125;0.657
arroio trinta;santa catarina;3638;13177.45996094;0.764
artur nogueira;sao paulo;43499;11152.36035156;0.749
aruana;goias;7056;10385.80957031;0.675
